grid_cell,year,total,squirrel,EVI_mean,Human_popden_sqrt,Precipitation,Temp_max
3570,2018,2,0,1768.6754260253906,1.5540201220208416,176.2720347595215,351.4910137939453
3570,2019,5,0,1768.6754260253906,1.5540201220208416,176.2720347595215,351.4910137939453
3570,2020,4,0,1768.6754260253906,1.5540201220208416,176.2720347595215,351.4910137939453
3570,2021,4,0,1768.6754260253906,1.5540201220208416,176.2720347595215,351.4910137939453
3570,2022,2,0,1768.6754260253906,1.5540201220208416,176.2720347595215,351.4910137939453
3571,2018,1,0,1880.6198858642579,1.1865982394403134,173.21385482788085,348.5449554443359
3571,2019,5,0,1880.6198858642579,1.1865982394403134,173.21385482788085,348.5449554443359
3571,2020,4,0,1880.6198858642579,1.1865982394403134,173.21385482788085,348.5449554443359
3571,2021,1,0,1880.6198858642579,1.1865982394403134,173.21385482788085,348.5449554443359
3571,2022,7,0,1880.6198858642579,1.1865982394403134,173.21385482788085,348.5449554443359
3572,2012,1,0,1726.9734033203124,1.5976809236258105,169.9782093811035,352.3415460205078
3572,2018,2,0,1726.9734033203124,1.5976809236258105,169.9782093811035,352.3415460205078
3572,2019,3,0,1726.9734033203124,1.5976809236258105,169.9782093811035,352.3415460205078
3572,2020,1,0,1726.9734033203124,1.5976809236258105,169.9782093811035,352.3415460205078
3572,2021,2,0,1726.9734033203124,1.5976809236258105,169.9782093811035,352.3415460205078
3573,2015,1,0,1775.1034936523438,4.249875894585741,170.07109466552734,353.55805755615233
3573,2016,2,0,1775.1034936523438,4.249875894585741,170.07109466552734,353.55805755615233
3573,2017,3,0,1775.1034936523438,4.249875894585741,170.07109466552734,353.55805755615233
3573,2018,1,0,1775.1034936523438,4.249875894585741,170.07109466552734,353.55805755615233
3573,2019,17,0,1775.1034936523438,4.249875894585741,170.07109466552734,353.55805755615233
3573,2020,17,0,1775.1034936523438,4.249875894585741,170.07109466552734,353.55805755615233
3573,2021,17,0,1775.1034936523438,4.249875894585741,170.07109466552734,353.55805755615233
3573,2022,9,0,1775.1034936523438,4.249875894585741,170.07109466552734,353.55805755615233
3574,2015,1,0,1838.2438623046876,0.8217361656112587,166.8596501159668,350.81891967773436
3574,2021,2,0,1838.2438623046876,0.8217361656112587,166.8596501159668,350.81891967773436
3575,2017,1,0,1871.4533056640626,1.6704153421784793,162.1866081237793,354.7348297119141
3575,2019,2,0,1871.4533056640626,1.6704153421784793,162.1866081237793,354.7348297119141
3575,2020,1,0,1871.4533056640626,1.6704153421784793,162.1866081237793,354.7348297119141
3575,2021,2,0,1871.4533056640626,1.6704153421784793,162.1866081237793,354.7348297119141
3575,2022,2,0,1871.4533056640626,1.6704153421784793,162.1866081237793,354.7348297119141
3576,2020,1,0,1710.2598641967772,0.9608373688291701,170.30218276977538,362.9520532226563
3579,2022,1,0,1576.1808541870116,0.8138584925017337,172.27125198364257,363.6514407348633
3657,2010,4,0,1588.9526391601562,2.8529655828781677,175.26532104492188,357.5904995727539
3657,2012,1,0,1588.9526391601562,2.8529655828781677,175.26532104492188,357.5904995727539
3657,2018,2,0,1588.9526391601562,2.8529655828781677,175.26532104492188,357.5904995727539
3657,2019,2,0,1588.9526391601562,2.8529655828781677,175.26532104492188,357.5904995727539
3657,2021,17,0,1588.9526391601562,2.8529655828781677,175.26532104492188,357.5904995727539
3657,2022,10,0,1588.9526391601562,2.8529655828781677,175.26532104492188,357.5904995727539
3658,2017,1,0,1614.0899462890625,0.8634237641295729,173.45376861572265,354.92805419921876
3658,2020,4,0,1614.0899462890625,0.8634237641295729,173.45376861572265,354.92805419921876
3658,2021,6,0,1614.0899462890625,0.8634237641295729,173.45376861572265,354.92805419921876
3658,2022,3,0,1614.0899462890625,0.8634237641295729,173.45376861572265,354.92805419921876
3659,2017,1,0,1650.2487622070312,1.6032825017079724,172.59621368408204,359.21651580810544
3659,2018,3,0,1650.2487622070312,1.6032825017079724,172.59621368408204,359.21651580810544
3659,2019,1,0,1650.2487622070312,1.6032825017079724,172.59621368408204,359.21651580810544
3659,2020,4,0,1650.2487622070312,1.6032825017079724,172.59621368408204,359.21651580810544
3659,2021,1,0,1650.2487622070312,1.6032825017079724,172.59621368408204,359.21651580810544
3659,2022,6,0,1650.2487622070312,1.6032825017079724,172.59621368408204,359.21651580810544
3660,2019,3,0,1665.9164050292968,2.4509648302639335,170.3114990234375,360.20765197753906
3660,2020,6,0,1665.9164050292968,2.4509648302639335,170.3114990234375,360.20765197753906
3660,2021,2,0,1665.9164050292968,2.4509648302639335,170.3114990234375,360.20765197753906
3660,2022,4,0,1665.9164050292968,2.4509648302639335,170.3114990234375,360.20765197753906
3661,2019,2,0,1597.533455810547,1.8957922990955336,171.28116882324218,358.78996643066404
3661,2021,1,0,1597.533455810547,1.8957922990955336,171.28116882324218,358.78996643066404
3661,2022,1,0,1597.533455810547,1.8957922990955336,171.28116882324218,358.78996643066404
3662,2017,1,0,1603.2376904296875,1.5847488604592799,169.85902038574218,360.29536865234377
3662,2019,1,0,1603.2376904296875,1.5847488604592799,169.85902038574218,360.29536865234377
